Intensive_Care_Unit_III_Cardiac_Surgery|n_sim:10000|tl_rate:0.25	Intensive_Care_Unit_I_Inpatients|n_sim:10000|tl_rate:0.25	Intensive_Care_Unit_c/o_Infectious_Diseases|n_sim:10000|tl_rate:0.25	ICU_cardiac/ICU_Inpatients/ICU_infectious_disease(merged)|n_sim:10000|tl_rate:0.25	Every_ward|n_sim:10000|tl_rate:0.25
10.0	30.0	60.0	50.0	48.0
70.0	30.0	0.0	54.2	20.0
70.0	50.0	20.0	33.3	24.0
60.0	20.0	0.0	33.3	24.0
80.0	20.0	0.0	33.3	36.0
60.0	50.0	40.0	33.3	40.0
60.0	60.0	60.0	37.5	32.0
50.0	50.0	20.0	50.0	40.0
50.0	10.0	40.0	25.0	48.0
50.0	40.0	60.0	29.2	36.0
50.0	30.0	20.0	37.5	48.0
40.0	40.0	20.0	12.5	24.0
50.0	20.0	40.0	25.0	60.0
70.0	30.0	40.0	29.2	28.0
70.0	70.0	0.0	33.3	32.0
70.0	30.0	40.0	33.3	32.0
70.0	60.0	20.0	45.8	32.0
70.0	60.0	20.0	50.0	32.0
60.0	50.0	0.0	37.5	32.0
40.0	50.0	20.0	45.8	44.0
40.0	30.0	60.0	33.3	32.0
50.0	30.0	20.0	45.8	28.0
60.0	20.0	60.0	37.5	40.0
50.0	30.0	60.0	45.8	40.0
50.0	40.0	20.0	29.2	28.0
60.0	30.0	20.0	45.8	20.0
60.0	30.0	20.0	33.3	28.0
50.0	40.0	40.0	54.2	28.0
50.0	50.0	0.0	37.5	28.0
40.0	20.0	20.0	50.0	28.0
40.0	20.0	20.0	20.8	36.0
50.0	40.0	20.0	29.2	36.0
50.0	40.0	40.0	33.3	36.0
40.0	30.0	40.0	29.2	24.0
80.0	50.0	40.0	29.2	32.0
80.0	50.0	40.0	29.2	32.0
70.0	50.0	20.0	37.5	44.0
60.0	60.0	20.0	41.7	36.0
50.0	30.0	20.0	33.3	36.0
70.0	30.0	100.0	20.8	20.0
50.0	20.0	60.0	16.7	48.0
40.0	30.0	40.0	33.3	36.0
60.0	20.0	0.0	37.5	40.0
60.0	40.0	40.0	37.5	28.0
60.0	40.0	0.0	45.8	24.0
40.0	30.0	40.0	50.0	32.0
60.0	10.0	20.0	29.2	32.0
40.0	50.0	20.0	25.0	24.0
60.0	30.0	60.0	25.0	36.0
70.0	30.0	20.0	54.2	28.0
60.0	50.0	60.0	45.8	28.0
40.0	30.0	20.0	37.5	36.0
40.0	50.0	60.0	33.3	36.0
80.0	50.0	0.0	41.7	36.0
70.0	60.0	20.0	45.8	36.0
70.0	30.0	60.0	62.5	20.0
40.0	40.0	60.0	33.3	36.0
60.0	40.0	20.0	20.8	32.0
60.0	20.0	20.0	41.7	40.0
30.0	60.0	20.0	20.8	24.0
40.0	40.0	0.0	45.8	44.0
40.0	40.0	60.0	33.3	32.0
60.0	40.0	60.0	20.8	24.0
60.0	10.0	20.0	45.8	32.0
70.0	40.0	40.0	33.3	24.0
50.0	30.0	40.0	50.0	24.0
30.0	30.0	60.0	33.3	52.0
50.0	50.0	0.0	29.2	28.0
70.0	30.0	20.0	41.7	36.0
60.0	20.0	0.0	29.2	24.0
60.0	50.0	60.0	33.3	20.0
60.0	20.0	20.0	29.2	36.0
60.0	20.0	60.0	37.5	16.0
40.0	20.0	40.0	29.2	20.0
60.0	0.0	40.0	25.0	44.0
40.0	20.0	20.0	29.2	40.0
50.0	30.0	0.0	37.5	40.0
40.0	40.0	20.0	37.5	52.0
50.0	50.0	20.0	37.5	44.0
60.0	50.0	20.0	29.2	44.0
60.0	50.0	40.0	54.2	28.0
50.0	50.0	20.0	33.3	20.0
30.0	30.0	20.0	45.8	32.0
30.0	10.0	40.0	16.7	36.0
70.0	40.0	20.0	12.5	20.0
40.0	40.0	40.0	37.5	40.0
60.0	20.0	60.0	45.8	20.0
60.0	30.0	60.0	29.2	28.0
90.0	40.0	20.0	45.8	28.0
60.0	30.0	20.0	41.7	28.0
20.0	20.0	60.0	37.5	40.0
50.0	30.0	40.0	37.5	44.0
60.0	60.0	60.0	54.2	28.0
40.0	40.0	20.0	29.2	52.0
20.0	20.0	40.0	29.2	48.0
60.0	50.0	40.0	20.8	40.0
60.0	50.0	20.0	33.3	44.0
40.0	30.0	40.0	25.0	28.0
70.0	70.0	0.0	25.0	24.0
40.0	50.0	20.0	33.3	52.0
60.0	30.0	40.0	41.7	36.0
50.0	50.0	20.0	41.7	36.0
40.0	50.0	20.0	50.0	36.0
70.0	30.0	20.0	29.2	16.0
60.0	20.0	60.0	16.7	32.0
50.0	20.0	20.0	41.7	48.0
30.0	10.0	40.0	29.2	28.0
50.0	50.0	60.0	29.2	32.0
60.0	30.0	40.0	37.5	28.0
80.0	60.0	20.0	50.0	32.0
40.0	40.0	40.0	41.7	40.0
70.0	20.0	40.0	50.0	32.0
60.0	30.0	20.0	62.5	40.0
40.0	30.0	0.0	41.7	40.0
40.0	20.0	0.0	29.2	32.0
80.0	40.0	0.0	37.5	16.0
30.0	50.0	20.0	25.0	32.0
50.0	30.0	40.0	37.5	32.0
30.0	30.0	0.0	29.2	32.0
20.0	40.0	40.0	37.5	36.0
60.0	40.0	60.0	33.3	12.0
40.0	60.0	20.0	41.7	16.0
50.0	10.0	20.0	33.3	20.0
60.0	20.0	20.0	25.0	28.0
40.0	20.0	20.0	16.7	48.0
50.0	40.0	40.0	41.7	40.0
10.0	30.0	20.0	20.8	16.0
40.0	50.0	40.0	37.5	28.0
40.0	40.0	20.0	54.2	28.0
60.0	20.0	40.0	45.8	40.0
50.0	20.0	60.0	50.0	32.0
60.0	10.0	40.0	25.0	40.0
60.0	40.0	60.0	33.3	36.0
80.0	30.0	20.0	33.3	28.0
80.0	40.0	40.0	25.0	32.0
60.0	70.0	40.0	37.5	44.0
70.0	20.0	40.0	37.5	36.0
40.0	50.0	0.0	66.7	20.0
50.0	30.0	40.0	41.7	24.0
50.0	40.0	40.0	29.2	36.0
50.0	0.0	40.0	37.5	36.0
50.0	20.0	20.0	37.5	28.0
50.0	40.0	40.0	33.3	28.0
40.0	30.0	20.0	41.7	28.0
40.0	10.0	20.0	45.8	20.0
70.0	40.0	20.0	33.3	28.0
60.0	20.0	40.0	54.2	52.0
30.0	20.0	60.0	37.5	20.0
60.0	60.0	20.0	29.2	36.0
30.0	20.0	20.0	41.7	32.0
30.0	40.0	20.0	33.3	32.0
70.0	50.0	40.0	37.5	20.0
40.0	30.0	0.0	29.2	28.0
60.0	20.0	40.0	29.2	24.0
30.0	40.0	20.0	37.5	32.0
50.0	60.0	20.0	54.2	24.0
70.0	40.0	20.0	29.2	40.0
50.0	70.0	20.0	45.8	40.0
70.0	20.0	20.0	37.5	36.0
40.0	40.0	20.0	25.0	40.0
60.0	50.0	0.0	33.3	28.0
50.0	30.0	20.0	25.0	32.0
60.0	20.0	0.0	37.5	28.0
30.0	20.0	40.0	33.3	32.0
50.0	60.0	60.0	45.8	36.0
40.0	10.0	40.0	37.5	36.0
70.0	60.0	0.0	29.2	20.0
60.0	30.0	40.0	29.2	20.0
50.0	30.0	40.0	45.8	40.0
60.0	20.0	40.0	16.7	52.0
50.0	30.0	40.0	50.0	24.0
60.0	40.0	20.0	33.3	32.0
70.0	30.0	40.0	58.3	44.0
60.0	40.0	20.0	29.2	32.0
50.0	40.0	60.0	20.8	44.0
70.0	50.0	20.0	25.0	20.0
40.0	30.0	20.0	33.3	32.0
30.0	50.0	20.0	16.7	32.0
60.0	30.0	20.0	29.2	28.0
40.0	30.0	20.0	29.2	32.0
60.0	20.0	40.0	33.3	24.0
30.0	30.0	0.0	33.3	48.0
30.0	30.0	60.0	37.5	36.0
50.0	10.0	0.0	33.3	48.0
50.0	20.0	80.0	25.0	20.0
50.0	30.0	0.0	25.0	28.0
60.0	40.0	20.0	54.2	64.0
70.0	30.0	100.0	33.3	32.0
60.0	40.0	60.0	45.8	48.0
50.0	50.0	40.0	25.0	48.0
40.0	50.0	20.0	29.2	32.0
60.0	20.0	60.0	25.0	40.0
40.0	0.0	20.0	29.2	36.0
50.0	20.0	60.0	33.3	40.0
60.0	40.0	20.0	41.7	28.0
20.0	50.0	40.0	25.0	20.0
70.0	20.0	20.0	50.0	32.0
80.0	40.0	0.0	33.3	52.0
60.0	50.0	20.0	41.7	28.0
70.0	0.0	20.0	41.7	32.0
40.0	40.0	0.0	45.8	28.0
50.0	50.0	80.0	41.7	36.0
60.0	20.0	0.0	45.8	20.0
40.0	40.0	40.0	37.5	44.0
60.0	70.0	40.0	37.5	28.0
30.0	30.0	20.0	41.7	32.0
60.0	30.0	40.0	50.0	48.0
70.0	40.0	0.0	37.5	32.0
60.0	20.0	20.0	41.7	40.0
40.0	50.0	60.0	29.2	28.0
50.0	40.0	20.0	20.8	40.0
60.0	70.0	40.0	33.3	20.0
70.0	50.0	20.0	33.3	44.0
50.0	20.0	40.0	50.0	40.0
70.0	40.0	20.0	41.7	28.0
70.0	20.0	40.0	16.7	40.0
50.0	20.0	20.0	54.2	40.0
40.0	40.0	40.0	29.2	20.0
50.0	40.0	0.0	37.5	44.0
50.0	20.0	20.0	29.2	48.0
50.0	30.0	60.0	25.0	16.0
60.0	50.0	20.0	29.2	48.0
60.0	20.0	0.0	25.0	44.0
70.0	10.0	40.0	45.8	24.0
70.0	30.0	0.0	33.3	40.0
60.0	40.0	20.0	29.2	44.0
40.0	30.0	40.0	29.2	32.0
30.0	40.0	40.0	29.2	20.0
50.0	30.0	60.0	29.2	36.0
70.0	60.0	20.0	16.7	36.0
60.0	40.0	40.0	45.8	28.0
60.0	20.0	20.0	33.3	24.0
70.0	40.0	20.0	58.3	32.0
80.0	40.0	0.0	41.7	44.0
60.0	20.0	60.0	33.3	24.0
50.0	50.0	0.0	41.7	36.0
80.0	20.0	20.0	45.8	20.0
40.0	20.0	40.0	37.5	36.0
20.0	40.0	0.0	37.5	36.0
30.0	20.0	40.0	33.3	24.0
70.0	50.0	0.0	58.3	40.0
50.0	30.0	40.0	45.8	40.0
60.0	50.0	40.0	33.3	32.0
60.0	20.0	20.0	25.0	24.0
40.0	50.0	0.0	37.5	40.0
60.0	20.0	40.0	25.0	32.0
60.0	20.0	40.0	25.0	24.0
